review,Recommended IND
বছর পরে এসেও ২৩ টা টেস্ট ছাড়া মনে রাখার মত ম্যাচ নেই,sad
দেশে আজ আইনের শাসন নেই তাছাড়া একটি দলের হাতে দীর্ঘ সময় ধরে ক্ষমতা থাকাও এর অন্যতম কারণ,sad
ধর্ষিতা মেয়ের বাবার নামের যায়গায় আমার নাম লিখে দাও আর ঠিকানা লিখ ধানমন্ডি ৩২ আফসোস বঙ্গবন্ধু নেই,sad
যেখানে আইন থাকেনা সেখানে ধর্ষক তো বেপরোয়া হবেই,angry
এভাবে না বলে বলুন ধর্ষকদের বিচার হয় না কেন,angry
ধর্ষক সব আপনার দলের তাহলে আপনি পুরো পুরুষজাতিকে দোষারোপ কেন করছেন,angry
মাশরাফি মানে একটা আবেগ অনভূতি ভালোবাসা,happy
বসের তো শারিরীক উন্নতি হইছে,happy
হিরো আপনাকে আবারও খেলার মাঠে দেখতে চাই,excited
কলিজার মোখটা দেখলে খুব ভালো লাগে ওওও অগ্রিম শুভেচ্ছা জানাই জন্ম দিনের বস,happy
অগ্রীম জন্মদিনের শুভেচ্ছা রইলো বস,happy
সোনার বাংলার এই চিত্র ভাই আপনে কি কাঠের চশমা পরে আছেন,sad
নারায়নগঞ্জের মসজিদের ঘটনায় স্থানীয় দাইত্যরত গ্যাস কর্মকর্তাদের ও কর্মচারিদের নামে এখনো হত্যা মামলা দায়ের করা হয়নি দুক্ষজনক,sad
এইরকম চলতে থাকলে একদিন দেশের বিস্ফারণ ঘটবে,sad
ছবিগুলো দেখলে কান্না ধরে রাখা কঠিন,sad
খুবই কষঠদায়ক মেনে নিতে পারি না আললাহ তাদের জাননাত নসীব করুক আমিন,sad
অভিনন্দন অনেক অনেক শুভ কামনা,happy
তাসকিন তো মাঠে পোস্ট দিলো কে ভাবি নাকি,surprised
এই নশ্বর ভুবন ছেড়ে আমাদের সবাইকেই একদিন চলে যেতে হবে,sad
যার খেলার গল্প শুনে আর্জেন্টিনা ফুটবল দলের সাপোর্ট করা শুরু হয়ে ছিলো তিনি আজ বিদায় নিলেন,sad
অন্ধ মুসলমান কোথায় কি বলতে হয় এখনো সেটাও শিখেনি,religious
পুরো পৃথিবীতে কোটি কোটি আর্জেন্টাইন সমর্থক সৃষ্টির কারিগরবেঁচে থাকবেন হাজার হাজার আলবিস্তাদের হৃদয়ে বিদায় লিজেন্ড,sad
নিশ্চয়ই কাফেরদের জন্য মৃত্যুর পর জাহান্নাম অবধারিত মুসলিম হিসেবে তাদের বলা মানে আল্লাহর কথার বিরুদ্ধে যাওয়া,religious
অাল্লাহর একত্ববাদে বিশ্বাস রাখেনা এমন প্রতিটি কাফের এর জন্য কুরআনুল কারীমের সুস্পষ্ট ঘোষণাঃ ফী নারি জাহান্নামা খলিদীনা ফীহা,religious
এইখানে পোজ না দিয়ে খেলায় মনোযোগ দাওতোমার কাছে বহুত কিছু আশা করসিলাম মডেলিং ছাড়া আর কিছু দিতে পারলানা,angry
কিছু কুলাঙ্গার এই পোস্টেও হাহা রিয়াক্ট দিছে ছি ছি,angry
তোমার বিরহে আজ যেন আকাশও কাঁদছে দেশের বেশীরভাগ এলাকার আকাশ যেনো আজ তোমার বিরহে কেঁদে কেঁদে জমিন ভাসাচ্ছে,sad
তার মৃত্যু মেনেই নিতে পারছিনা,sad
ভাই ইসলাম এই হাফপেন্ট পরার অনুমতি দেয় নাই৷ ব্যায়াম করেন ভালো কথা শালীন পোশাক পরেন,religious
ভাই তুমি বোলিং এর পাশাপাশি ব্যাটিং টা ও শিখো কাজে লাগবে কারন তোমার যে শরীর,abusive
তিন জনের জন্য শুভ কামনা রইল,happy
৩ জনকে জাতীয় দলে একসাথে খেলতে দেখতে চাই,excited
এই ভাবে পরিশ্রম করলে সফলতা আসবেই শুভকামনা রইল,happy
আশা করি বঙ্গবন্ধু টি২০ টুর্নামেন্টে দুর্দান্ত এক তাসকিনকে পাবো,excited
সংসদে বিল পাস ধর্ষণের সর্বোচ্চ শাস্তি মৃত্যুদণ্ড,happy
আপনার বিষয়ে এক্টাই কথাআর সেটা হলো লাইন লেন্থ ঠিক করার চেষ্টা করেন উইকেটের আশায় দল্কে ডুবাইয়া দিয়েন নাহ,angry
গানটি শুনুন মন ফুরিয়ে যাবে,happy
চালিয়ে যান ভাইয়াভাল কিছুই হবে সামনেইনশাল্লাহ,happy
ভাই চাই এবং দোয়া করি ১৫০ হোক,excited
তাসকিন আপনি আপনার হার্ড ওয়ার্ক চালিয়ে যান আশা করি আপনি আগামী দিনের বিশ্বের সেরা বোলারের একজন হবেন,excited
ছেলেটাকে ছোটবেলাই যেদিন চকলেট হাতে তুলে দিয়েছিলাম সেদিনই বুঝেছিলাম ও বড় হয়ে কিছু একটা করবে,happy
একজন জাতীয় দলের খেলোয়াড়ের এই ধরনের মাঠে অনুশীলন করা কতটা যুক্তিযুক্ত,angry
আপনি পারবেন এরাই সাফল্য কারন এরা পরিশ্রমী,happy
আপনার কঠোর পরিশ্রম সত্যি ই প্রসংশনীয়পরিশ্রম করে যান সফলতা আসবেইনশাল্লাহঅনেক দূর এগিয়ে যানশুভ কামনা রইলো,happy
সবার মান্জা মারা পিক দিয়া লাভিও তাসকিন মারানোর কাহিনী না বুঝা আমার অবুঝ মন,abusive
তাকসিনকে কেবল ফেসবুকেই দেখি মাঠে পাই না,sad
সেলুট বস্ আপনার এই ফিরে আসার চেস্টা দেখে,happy
তোমার বল খেলতে যেয়ে যেনো কোহলির ওটা কেঁপে উঠে এই উইস রইলো তাসু ভাইয়া,abusive
এবার তাসকিন ফিরবে বীরের বেশে,happy
১৫০১৪৫ ১৪৮ ১৫৫ গতি চাই সব সময়,excited
তাসকিনের সবকিছুতেই পরিবর্তন আসতে শুরু করেছে আশা করি ভালো কিছুই পাবো তার কাছ থেকে,happy
এখন শুধু একটু বলে ভেরিএশন দরকার তাহলেই তাসকিন চলে আসবে তার নিজের সবচেয়ে ভাল অবস্থানে,excited
হিন্দি গান কেনো বাংলা গান নাই দেশে,angry
তাসকিনের বউ আছে সেটা জানার পরও কিছু বিচিওয়ালা আপু এসে বলবে আাই লাভ ইউ তাসকিন,abusive
সবই ঠিক আছেপরিশ্রম করছেন ভালো কথা কিন্ত ভিডিও তে হিন্দি গান কেনোএকজন বাংলাদেশি সুপার ষ্টার হয়ে ভারতীয় প্রচারনা কেনো,angry
আজকাল বাংলাদেশের সেলিব্রিটিরাও সব কিছুতেই ভারতীয় সংস্কৃতি ব্যবহার করে,angry
আপনার এটা মনে রাখা উচিত ছিল আপনি একজন বাংলাদেশী সুপার স্টার হিন্দি গান টা লাগিয়ে ভালো করেননি,angry
ভাই আপনাদের ফ্যামিলির মানুষের মন অসাধারণ ভালো তার সাথে আপনার আপনাদের ফ্যামিলির জন্য দোয়া ও ভালোবাসা রইলো,happy
হিন্দী গান প্রোমোটিং হচ্ছে এটা লজ্জার,angry
সাকিব সাইফ তাসকিন ভাইয়া সবার জন্য শুভ কামনা রইল,happy
তাকে বলে দিও আগে ভালো বাসতামআর এখন সাকিব মানেই মুসলমানদের জন্য লজ্জার,sad
সাকিবের ভেতর কোন অনুতপ্ত বোধ নেই অহংকার বেশি পতন হবে,angry
এখানে এখন সব ফেরেস্তারা হামাগুড়ি দিতে দিতে এসে বলবে বয়কটসাকিব এতে সাকিবের সব বাল খসে খসে পড়ে যাবে,abusive
সবার সুরক্ষার জন্য দোয়া রইল আল্লাহ যেন প্রত্যেকটা খেলোয়াড়কে করোনা থেকে সুরক্ষা প্রদান করেন,happy
জুতা মার সবাই এই বাইনচোদরে,abusive
ভাল আছেন ভাল থাকেন আওয়ামী নাস্তিকের সাথে নিজেকে জড়াইয়েন না,abusive
দুজনের মধ্যে যে একটা নক্ষত্র রয়েছে তার নাম লেখেন নাই কেন নিঃসন্দেহে সাইফ বাংলাদেশ দলের অন্যতম স্টার,happy
সাকিবের উচিৎ ভূল স্বীকার করে ক্ষমা চাওয়া,sad
ভাই তার সবকিছু আনফলো করে দিছি তবে সাম্প্রতিক কর্মকান্ডের বিষয়ে সুস্পষ্ট স্ট্যাটাস দিতে হবে আগে আমার ইসলাম পরে বাল হাসান,abusive
নাস্তিক কে নিয়ে পোস্ট টা না দিলেই পারতেন তাসকিন ভাই,religious
হিন্দুদের দালাল মুসলমানের কলঙ্ক,religious
এরকম নামদারি মুসলিম প্লেয়ারকে আমরা দেখতে চাইনা,angry
ছি ধিক্কার জানাই সাকিব আবাল কে,abusive
শ্রী সাকেপ বাল হাসানের জন্য এটা,abusive
তারপরেও খেলের এই করুন অবস্থা কেন,sad
যদি পেতাম তোমার একটা রিপলে তাহলে আমি হতাম অনেক আনন্দিত প্রিয় বস এবং প্রিয় খেলোয়াড় সবসময় ভালবাসি তোমাকে,happy
ভাই এতো পরিশ্রম করোএতো ঘাম ঝড়াচ্ছোতবুও তো খেলার মাঠে কাঙ্ক্ষিত ফল পাও নাআশা করি আপকামিং টুর্ণামেন্টে ভালো কিছু করবে,excited
ভালভাবে প্র্যাকটিস করো বরিশালে জয় ছিনিয়ে নিতে হবে তে,excited
লাভ নাই তামিম চিট করে ম্যাচ হারাইবে কষ্ট করে বল করে লাভ কি,sad
ছোট ভাইআপনাকে আবার ইন একশোনে দেখতে চাই,excited
এসব করে কোন লাভ নাই খেলা পারস না বালের মাথা অযথা দেশের টাকা গুলো নষ্ট করতেছিস,abusive
ভাই অাপনার জন্য অনেক অনেক শুভ,happy
এই ছবিটা পৃথিবীর সবচেয়ে সুন্দর,happy
যেকোনো ধর্মই হোক ধর্মীয় বিশ্বাসরীতিনীতি থাকা বাধ্যতামূলক সেটা পরিবার থেকেই পায় প্রতিটি মানুষভালবাসা অবিরাম,happy
তিন প্রজন্মের তিনজন এক সাথে জুম্মা মোবারক,happy
বাপের থেকে ছেলে বেশি সুন্দর মাশা আল্লাহ,happy
ছবিটি কার তোলা জানিনা ধন্যবাদ অন্তর থেকে,happy
অসাধারণ অনেক অনেক ভালো বাসা রইলো সবার জন্য,happy
অনেক দোয়া রইলো আপনারা ভালো থাকলে দেশ ভালো থাকবে,happy
তাসকিনকে নিয়ে অনেক আশা ভরসা শুভকামনা তাসকিন,excited
অবশ্যই সবসময় ভালবাসা এবং শুভকামনা রইলো,happy
বাবাতোমাকে আল্লাহ নেক হায়াৎ দান করুন আরো ভালো খেলে দেশের সুনাম বৃদ্ধি করআল্লাহ তোমাকে জীবনের সব দিকে পরিপূর্ণ করবেন আমিন,happy
বরিশালে যখন আসছেন আপনার ভাগ্য এবার খুলে যাবে ইনশাআল্লাহ,excited
বরিশালে স্বাগতম ভাই শুভ কামনা রইলো সেরাটা দিয়েই বরিশালকে এগিয়ে নিবেন এই প্রত্যাশা করি,excited
বরিশালবাসীর পক্ষ থেকে শুভকামনা রইলো,happy
বরিশাল বাসির পক্ষ থেকে অভিনন্দন ভাই,happy
স্পিড স্টার এখন আমাদের বরিশালে ভাবতেই ভালো লাগছে আশা করছি ভালো কিছু করে দেখাবেন আমরা বরিশালবাসী আপনাদের পাশে আছি,excited
সব মোরা মোরাই বরিশালের জন্য শুভকামনা,happy
বরিশালের পক্ষ থেকে অনেক অনেক শুভেচ্ছা ও অভিনন্দন,happy
আসন্ন বঙ্গবন্ধু টি টুয়েন্টি টুর্নামেন্টে নিজের সেরাটা দিয়ে খেলবেন ইনশাআল্লাহ,excited
এই লড়াই করে তোমাকে আবারো ফিরতে হবে শুভ কামনা টি২০ কাপের যাত্রা শুভ হোক,happy
তুমি এখন অন্য কারও বর শুভকামনা রইল,happy
গতি আর কেরি টা ঠিক করেন ভাই আপনাকে নিয়ে অনেক আশা ছিলো তিন্তু বিজয়ের মতো ফিকে হয়ে যাচ্ছে,sad
কমেন্টে এসে পিক দেয় এটা কোন ধরনের কামলামি,angry
ভাই সবসময় এই ধারাবাহিকতাটাই চাই তোমার বোলিং স্টাইলটা সবসময়ই ফলো করি,happy
অাপনার সাপোর্ট অামাদের বহু দূর এগিয়ে নিয়ে যাবে,excited
আপনার মত ফুটবল ফ্যান আমার জীবনেও দেখি নাই সত্যি ভাই,happy
মাইয়া গুলা এতো লুইচ্ছা ক্যারে,abusive
শুধু ইঞ্জুরীতে না পড়লে হবে,sad
তিনি দ্রুত সুস্থ হয়ে ফিরে আসবেন ইনশাআল্লাহ,excited
আমাদের কক্সবাজারের গর্ব নিটল মাষ্টার মুমিনুল হক ভাইয়ের সুস্তা কামানা করি,happy
উভয়েরই দ্রুত সুস্থতা কামনা করছি,happy
দুয়া করি যেন দ্রুত সুস্ত হয়ে ওঠে টেস্ট অধিনায়ক,happy
আপনাদের সকলের জন্য দোয়া ও ভালোবাসা রইলো,happy
সুস্থতা আল্লাহর নিয়ামত দ্রুত সুস্থতা কামনা করছি,happy
ক্রিকেটে নতুন উদ্যমে নতুন কিছু দেখার অপেক্ষায়,excited
আপনার স্ত্রী পর্দা করেন কিন্তু আপনি এত টাইটফিট পোষাক পরেন কেন নিশ্চয়ই শয়তানে লাড়েচাড়ে,abusive
বউকে পর্দাশীল করেছেন দেখে ভালো লাগছে অন্যদের মত করেন নাই,happy
পর্দা ব্যক্তির ব্যক্তিত্ব বৃদ্ধি করে মর্যাদা বৃদ্ধি করে এবং একটি সুন্দর রুচিশীল উপায়ে জীবনযাপন করতে শিখায়,happy
এই রকম দেখলে সত্যিই খুব ভালো লাগে মাশাআল্লাহ,happy
তাছকিন মাসআল্লাহ্ তোমার ছেলেকে অনেক সুন্দর লাগছে সুখী পরিবার,happy
শ্রদ্ধা ভালোবাসা শুভ কামনা রইলো,happy
মাশমাশাআল্লাহ আল্লাহ যেন আপনাদেরকে জান্নাতের দুজনকে একই সাথে এভাবে রাখে,happy
পর্দার বিধান টা খুবই ভালো লাগছে দোয়া রইলো,happy
ভাই ভাবির এমন পর্দা করা দেখে খুবই ভাল লাগল,happy
ভাবির এই ড্রেস টা দেখে ভাই মনটা ভরে গেলেআল্লাহ আপনাকে সাহায্য করুন,happy
আপনার সুস্থতা কামনা করি রিয়াদ ভাই মহান আল্লাহতালা যেনো আপনাকে তাড়াতাড়ি সুস্থ করে দেন আমিন,happy
দোআ রইলো ইনশাআল্লাহ তারাতাড়ি সুস্থ হয়ে যাবে,happy
খবরটি শুনে খুব এই খারাপ লাগলো আল্লাহ তায়ালা উনাকে দূরত্ব সুস্থতা দান করুন আমিন,sad
ঈশ্বর যেনো ভাই কে খুব তাড়াতাড়ি সুস্থতা দান করে,happy
করোনায় আক্রান্ত হয়েছেন টাইগারদের সাইলেন্ট কিলার মাহমুদুল্লাহ রিয়াদ ভাই আল্লাহ যেন প্রিয় ভাইকে তাড়াতাড়ি সুস্থতা দান করে আমিন,sad
খুব শীগ্রই সুস্থ হয়ে যাবেন ইনশাআল্লাহ ভাই,happy
করোনাভাইরাস ভয়ের কিছু নেই প্রাণের মাহমুদুল্লাহ দ্রুত সুস্থ হয়ে আমাদের মাঝে ফিরে আসবেনইনশাআল্লাহ,happy
ওয়াও অনেক সুন্দর লাগছেবাবু তো দেখতে অনেক কিউটকত সুন্দর হাসছেদোয়া ও শুভকামনা রইলসবাই ভালো থাকুন সুস্থ থাকুন ইনশাআল্লাহ,happy
গাড়ির পিছনের সিটে কাজের মেয়েকে দেখেছিকি সুন্দর করে তাকে রেখেছে সত্যি অসাধারণ মানসিকতা তাসকিন পরিবারের,happy
ওর সব ভিডু দেখলে আমার চোখের অশ্রু কন্ট্রোল থাকে না,sad
একদম বাবার ফটোকপি আল্লাহ তায়ালা তাকে নেক হায়াত দান করুক,happy
ওরা যেখানেই যায় কাজের মেয়ে টাকেও নিয়ে যায় এটা বিষন ভালো লাগে ভালিবাসি তাসকিন পরিবার,happy
দুজনের এই হাসিটা ফুটে থাকুক সব সময়,happy
বাবু টা অনেক কিউট মাশাল্লাহ চোখ গুলো আরো সুন্দর দেখতে পুরা কিউটের ডিব্বা,happy
তানকিন ভাইয়া কেও সুন্দর লাগছে,happy
তদের বড়লোকি জীবন দেখলে আমরা ছোটলোকদের কষ্ট হয়,sad
ভিডিও টা অনেক বার করে দেখলাম মাশাল্লাহ বাবুকে অনেক লাগতেচে,happy
আগামীর পথ চলা সুন্দর ও সফল হোক দোয়া রইলো,happy
মন থেকে ভালোবাসা ও দোয়া রইল ভাই,happy
ভাই এসব পোস্ট দিয়ে অবিবাহিতদের মনে কষ্ট দিবেন না,sad
সামনের পঘ চলায় শুভ কামনা রইল,happy
আপনার ১৫০ গতিতে বোলিং দেখার অপেক্ষা,excited
ভাই এর জগন্য কাজের জন্য আপনাদের দুই একজন বাদে কাউকে প্রতিবাদ করতে দেখলাম না এটি সত্যিই অনেক দুংখজনক,sad
আশা রাখি ফিরে আসবে আবারো আরও শক্ত হয়ে,excited
শাকিবের সাথে একই টিমে খেলেও উনার একটা ছবি সেভ করা নেই ছবির জন্য গুগল করতে হয়,sad
এমন এক টিমম্যাট যে বিশ্বসেরা অলরাউন্ডার এর সাথে কোনো ছবি নিজের ফোনে নাই গুগল করে পোস্ট দেয়া লাগে,sad
অবশেষে বিশ্ব ক্রিকেটের আইকন সাকিব আল হাসানের উপর থেকে আইসিসির সব ধরনের নিষেধাজ্ঞার পরিসমাপ্তি,happy
২০০০ সালটা খুব মিস করি এখন এভাবে আমার আগমনের অপেক্ষায় কেউ থাকেনা,sad
বাবা ছেলের জন্য দোয়া ও ভালোবাসা রইলো,happy
ওরে বাচ্চা টা এত্তগুলা কিউউউট অনেক অনেক দোয়া আর অনেক অনেক অনেক আদর,happy
অ্যাকশন নিষিদ্ধ হওয়ার আগে ওই সময় টা যে চোখ জুড়ানো বোলিং দেখেছি সবসময় মিস করি বাংলাদেশের রাবাদা,sad
আপনি যে ভাল করবেন সেটা বুঝাই যাচ্ছিল কারন একটাই পরিশ্রম প্রচুর পরিশ্রম করেছেন করোনাকালীন সময়ে আর যত ফিট তত হিট,happy
দোস্ত তুর পরিশ্রম সফল হয়েছে এগিয়ে যা দূর্বার গতিতে,happy
আশাকরি এই শক্তি ক্যারিয়ারের শেষ পর্যন্ত থাকবে,excited
কাডের এই টাকা গুলো উঠায় কেমন্নে জানতে চাওয়া আমার মন,surprised
অতি শীঘ্রই আন্তর্জাতিক ম্যাচে গতির ঝড় সুইং দেখার অপেক্ষায় রইলাম ভাই,excited
জাতীয়দলেও এমন পারফর্মেন্স আশা করি,excited
পরিশ্রম সাফল্যের চাবিকাঠি ভাই আপনিই তার জলন্ত প্রমাণ আশাকরি খুব শিগ্রই জাতীয় দলে দেখবো,excited
মাশরাফিয়ান দের পক্ষ থেকে অভিনন্দন ভাইয়া যদিও আপনি নিজেই মাশরাফিয়ান,happy
গতির ঝড় ইন্টারন্যাশনাল ম্যাচে দেখার অপেক্ষায়,excited
গতি ১৪৫ কিঃমি বাংলার মিসাইল তাসকিনের বিধ্বংসী বোলিংয়ে অবাক সবাই,surprised
এই রকম হাঁসি মুখ টাই তো দেখতে চায় পুরো বাংলাদেশ,happy
ফাইনালের জন্য শুভ কামনা ভাইজান লাল সবুজের জার্সিতে ফিরতেই হবে,happy
মাইয়া রা কি বালের কমেন্ট করে বারোভাতারী গুলাই এরকম এস এম এস করে,abusive
আমি বুঝিনা বাংলাদেশের মেয়েরা এসব কি করতাছে এইগুলারে কুত্তা দিয়ে করানো দরকার,abusive
ভাইজাননেক্সট ম্যাচের জন্য দোয়া রইল তাসকিন,happy
তাসকিনের এখনো এত মেয়ে ফ্যান,surprised
আন্নে গোঁ তিনজনকে তো চিনলাম কিন্তু সাথে মালটা কে,abusive
বাল ফালা হালার পুতেরাএক বছর ধরে রেস্ট করে হয়নাইএখন সালারা রেস্ট ডে হালা বাদাইম্মার দল,abusive
আসা করি আপনি প্রত্যেক ম্যাচে বলের গতি ধরে রেখে বল করবেন শুভ কামনা রইলো সব সময়,happy
কিছু কিছু মেয়ে সুন্দর ছেলে দেখলে শুয়ে পড়েপরে কয়দিন পর বলে বিয়ের পরোচনা দিয়ে ধর্ষন করছে,abusive
আবার সে গতি তাসকিনের আগমনআশা করি এইবার অন্যরকম তাসকিনকে দেখা যাবে,excited
এভাবে ধারাবাহিকতা ধরে রেখে সামনে আরো ভালো কিছু করবেন আশা রাখি ভালোবাসা নিবেন,excited
ফিরে এসে তাসু জ্বলে ওঠ সেই আগের রুপে,excited
ভাই আমি সেই ২০১৫ সোনালি ক্রিকেট আবার দেখতে পাচ্ছি,excited
শুরুটা দারুণ হলো ধরে রাখতে পারলেই আলহামদুলিল্লাহ অনেক আশা দেখি,excited
বাহ মেরাজ বাহ অসাধারণ পারফর্মেন্স চালিয়ে যাও ভাই শুভ কামনা রইলো,happy
আল্লাহ সুস্হ রাখুক সব সময় ভাতিজাকে,happy
অনেকগুলা দোয়া রইল বাবুটার জন্য,happy
এমা বিবাহিত বাচ্চাও আছে এখন ওমাইগড,surprised
হেন্ডা মাতের শান্তি দিলিনা বউডারে,abusive
বাবু এবং বাবুর মা দুজনকে আল্লাহ তাআলা রাব্বুল আলামিন ভালো রাখুকসুস্থ রাখুক,happy
অভিনন্দন রইলো ভাই ভাবির জন্য দোয়া করি ছেলে যেন বাবার মতোই একজন ভালো মানুষ হতে পারে,happy
আপনার সন্তানের জীবন হোক ইসলামের আলোয় আলোকিত এই দোয়াই করি,happy
ত্রিব্র নিন্দা জানাই অপরাধীকে সর্বোচ্চ শাস্তি জেন হয় সেই আশায় আছি ভাইয়া,angry
বিচার চেয়ে লাভ নাই কারণ রক্ষক যদি ভক্ষক হয় সেখানে কি ই বা করার আছে,sad
আপনারা বাল ছিড়েন নি সরকারপতনের ডাক দেন নাইলে এ দেশে এই সৈরাচার নির্যাচত নিপিড়োন চলছে চলবে,angry
যে দেশে ধর্ষকের পক্ষে কুলাঙ্গার আইনজীবী পাওয়া যায় সে দেশে ধর্ষণের কেমন বিচার হবে,angry
চোখের জলে নৌকা ভাসে রক্তে ভাসে দেশধর্ষকেরা নাচে উল্লাসে এটাই বাংলাদেশ ছিঃ রাষ্ট্র,sad
এই শহরের কুকুর নিধন হয়অটো রিক্সা নিধন হয়শুধু ধর্ষক ই নিধন হবে না,sad
ধর্ষিতা বোনের পাশে যে রক্তমাখা ওড়না ঐ টাহ্ আমার স্বাধীন দেশের জাতীয় পতাকা,sad
হুম আরো ভালো কিছু সামনে অপেক্ষা করছে আপনার তাসকিনিয়ানদের জন্য,excited
দীর্ঘ মেয়াদে বেস্ট ১১ এ দেখতে চাই আবারো,excited
আবার জাতীয় দলে দেখতে চাই ভায়া,excited
ফের সিলেটে ধর্ষণ সিলেটের শামিমাবাদে ৫ সন্তানের জননীকে শ্রমীকলীগ নেতার ধর্ষণ আর আপনারা এইগুলি নিয়ে পড়ে থাকুন,angry
আপনি এইভাবে ইমরুল ব্রো কে আউট করতে পারেন না,sad
দোয়া রইলো আপনার প্রতি জানে ভালো কিছু করতে পারেন সব সময়,happy
দেশের এই অবস্থা তার মধ্যে তোমরা আসছো ফটো আপলোড দিতে তোমাদের কণ্ঠে কোন প্রতিবাদ নেই ধিক্কার জানাই আমাদের,angry
তেল মেরে লাভ নেই দলে তোর চান্স হবে না,angry
জন্ম দিনে অনেক অনেক শুভেচ্ছা,happy
প্রাণের স্পন্দন আমার মন থেকে ভালোবাসার একজন কিংবদন্তি ভালোবাসা প্রিয় ভাই অনেক অনেক শুভকামনা শুভ জন্মদিন,happy
ধর্ষনের বিচার কি হবে এই দেশে,sad
ধন্যবাদ এই ছবিটা আপলোড দেওয়ার জন্য,happy
আমি থাকলে তাউহিদ আফ্রিদির নাটকের মতো মুইতা দিতাম,abusive
মাইয়াগো রুচি কি দেখচো বিয়াতি তাসকিন কে সবাই লাভ করে এখনো,abusive
সেই আগের ঝাজটা নেই ফার্স্ট বোলার গরম না হলে হয়না,sad
ওইদিন দেখলাম ভাই আপনাকে ভালো লাগলো আপনার আব্বুর কথা বার্তা খুব সুন্দর,happy
আমি অপেক্ষায় আছি তোমার আবার জাতীয় দলে খেলা দেখার,excited
এই তাসকিন কে খুজছিলাম এতদিনইনশাআল্লাহ এই ফর্মটা অব্যাহত থাকবে,excited
তোমার মাধ্যমে জানাই তোমার ছেলের শুভ জন্মদিন ভবিষ্যৎ হোক উজ্জ্বল সুন্দর ও সফল দোয়া আর ভালবাসা রইল,happy
রাষ্ট্র ও জনগনের হাজার হাজার কোটি টাকা নষ্ট করেএদের ব্যায়ামপ্রোমোদভ্রমন দেখাতে লজ্জা করে না,angry
বাজারে তেলের দাম কমে গেছে নাকি,surprised
আরো কতকিছু দেখবোতবে ম্যাচে গেলে অসহায় বোলার হয়ে উঠেন,sad
এই পদ্ধতিটা বাংলাদেশের ব্যাটিংয়ের জন্য অনেক ভালো,happy
নতুন জার্সির সাথে সুন্দর লাগছে,happy
টি শার্টের ডিজাইন টা ভালো লাগছে,happy
জার্সিটা নিলে আমার জন্য ও একটা নিও,happy
আমি ভালবাসি খেলাধুলাভালবাসি বাংলার টাইগারদেরভাল থাকো বাংলাদেশ,happy
সারাজীবন অটুট থাকুক বাবা ছেলের ভালোবাসা,happy
ছেলে মাশা আল্লাহ কিন্তু তাসকিন সাহেবের হেয়ার স্টাইল এতো বাজে কেন,surprised
পুরনো দিনগুলোর কথা খুবই মনে পড়ে,sad
ভাল হছে ভাই ব্যাটিং ভাল হলে আমাদের জন্য বোনাস ভাই,happy
নেটে খুব ভালো শর্ট খেলতে পারোআর মাঠে নামলে বালটাও ছিড়তে পারো না,abusive
একদিন অলরাউন্ডার হবেন বাংলাদেশের শেন ওয়াটসন হবেন এই কামনা,excited
ভাই আমারো টেস্ট করার সময় অনেক কষ্ট হইছিলো আমার নাক দিয়ে রক্ত বের হইছিল,sad
কিতা বাল চাল লাগাইলায়টেস্ট করলে ফেইসবুকে দেয়া লাগে নি,abusive
ওয়াও তুমরা আবার রিকশা ব্যাবহার করো,surprised
আমরা নারায়ণগঞ্জেবাসী গভীর ভাবে শোকাহত,sad
ভাই মনের কথা বলেছেন যার যায় সেই বুঝে,sad
আগের চেয়ে ভালো কিছু হবে ইন শা আল্লাহ,excited
দুজন প্রিয় অবহেলিত প্লেয়ার,sad
মিস করি আশরাফুল ভাই আমার পছন্দের প্লেয়ার ভালোবাসি ভাই,sad
ক্রিকেট দুনিয়ায় এই লোকটাকে খুব মিস করি,sad
প্রিয় দুই জন কে দেখে ভাল লাগলভাই,happy
সুন্দর পরিবর্তন কাম বেক ইনশা আল্লাহ দর্শকের মন জয় করে নিবে আমাদের তাসকিন আহমেদ এগিয়ে যাও বাংলাদেশ কে এগিয়ে নাও,excited
ভাই মাঠে আপনাকে মিস করি খুব ফিরে আসেন ঐ রুপে যেখান থেকে ম্যাসকিনের উৎপত্তি হয়েছে,sad
এবার গতির সাথে বাউন্সার দেখতে চাই,excited
যত কিছুই করো ভাই লাভ না আর জাতীয় দলে সুযোগ পাবেনা,sad
বইয়া বইয়া জিম ই কর বল করতে আইসা ডাব্বা মারিস,angry
একটা প্লেয়ার ফিটনেস ভাল করার ট্রাই করছেতাও মন ভরে না মানুষের,sad
ইম্প্রুভমেন্ট দেখে দারুণ লাগছে,happy
ওয়েট লিপ্টং করতেছে কোমরে বেল্ট নাই এই জন্যই তো ইনজুরিতে পড়ে,sad
এগুলো এরকম লিফটিং করে এর মধ্যে বেল্ট ও নাই ভুলভাবে করে আবার পোস্ট দিতেছো লজ্জা শরম ও নাই,angry
এসব আজাইরা কাম বাদ দিয়া বোলিং প্র্যাক্টিস কর ইয়োর্কা মারা শিখ,angry
ভাই মরা কান্না কম করেন নিজের দেশের জন্য এমন করে কখনো কোন পোস্ট দিয়েছেন,angry
এখানে পড়ে আছে কত শত প্রাণ জীবনের গান গেছে হারিয়ে,sad
ঈদের শুভেচ্ছা রইলো ঈদ মোবারক,happy
